StateFIPS,State,Sex,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
50,VT,F,4.0%,4.3%,5.8%,6.2%,6.8%,5.9%,5.8%,6.7%,5.5%,5.5%,6.4%,7.4%,8.0%,7.3%,5.6%,3.8%,2.5%,2.6%
51,VA,T,5.6%,6.0%,6.5%,6.6%,6.6%,6.6%,6.8%,6.9%,6.7%,6.1%,6.4%,6.5%,6.5%,5.4%,4.5%,2.9%,1.7%,1.7%
51,VA,M,5.7%,6.1%,6.9%,6.7%,6.9%,6.9%,6.9%,6.9%,6.8%,6.1%,6.4%,6.5%,6.3%,5.2%,4.2%,2.6%,1.5%,1.2%
51,VA,F,5.4%,5.8%,6.1%,6.5%,6.4%,6.3%,6.7%,7.0%,6.6%,6.1%,6.4%,6.5%,6.7%,5.7%,4.7%,3.2%,2.0%,2.2%
53,WA,T,5.6%,6.0%,6.4%,6.0%,6.2%,7.2%,7.9%,7.2%,7.0%,5.9%,6.1%,6.0%,6.3%,5.5%,4.6%,2.8%,1.7%,1.6%
53,WA,M,5.7%,6.2%,6.4%,6.1%,6.5%,7.4%,8.1%,7.3%,7.1%,6.0%,6.2%,6.0%,6.2%,5.2%,4.3%,2.5%,1.5%,1.2%
53,WA,F,5.5%,5.9%,6.3%,5.9%,6.0%,7.0%,7.6%,7.1%,6.9%,5.8%,6.0%,6.1%,6.4%,5.7%,5.0%,3.0%,1.9%,1.9%
54,WV,T,5.0%,5.5%,6.2%,6.1%,6.3%,5.6%,5.7%,6.0%,6.5%,6.0%,6.5%,6.7%,7.3%,6.7%,6.0%,3.6%,2.4%,2.0%
54,WV,M,5.1%,5.5%,6.5%,6.3%,6.6%,5.6%,5.8%,6.3%,6.6%,6.1%,6.7%,6.8%,7.0%,6.4%,5.8%,3.4%,2.1%,1.4%
54,WV,F,4.8%,5.4%,5.9%,5.9%,6.1%,5.5%,5.7%,5.7%,6.5%,5.8%,6.3%,6.7%,7.6%,7.1%,6.1%,3.8%,2.6%,2.6%
55,WI,T,5.3%,5.8%,6.5%,6.6%,6.6%,6.3%,6.2%,6.5%,6.2%,5.7%,6.3%,7.0%,7.1%,6.1%,4.9%,3.0%,1.9%,2.0%
55,WI,M,5.5%,5.9%,6.8%,6.7%,6.7%,6.5%,6.4%,6.7%,6.2%,5.7%,6.3%,6.9%,7.2%,5.9%,4.7%,2.8%,1.7%,1.4%
55,WI,F,5.2%,5.8%,6.2%,6.4%,6.5%,6.1%,6.1%,6.3%,6.2%,5.6%,6.2%,7.1%,7.1%,6.2%,5.1%,3.2%,2.2%,2.5%
56,WY,T,5.2%,6.2%,7.1%,6.9%,6.2%,5.9%,6.3%,7.8%,6.1%,5.8%,5.6%,5.8%,7.2%,6.4%,5.1%,2.9%,1.7%,1.9%
56,WY,M,5.4%,6.0%,7.3%,6.9%,6.4%,6.2%,6.4%,7.5%,6.5%,5.9%,5.8%,5.5%,7.2%,6.3%,5.0%,2.6%,1.8%,1.3%
56,WY,F,5.1%,6.5%,6.9%,7.0%,6.0%,5.5%,6.1%,8.1%,5.7%,5.6%,5.3%,6.2%,7.2%,6.6%,5.1%,3.1%,1.6%,2.5%
72,PR,T,3.2%,4.6%,5.4%,6.3%,6.9%,6.3%,6.0%,5.7%,6.5%,6.3%,6.4%,6.8%,6.8%,6.3%,5.5%,4.7%,3.2%,3.0%
72,PR,M,3.2%,5.0%,5.8%,6.9%,7.3%,6.8%,6.4%,5.5%,6.4%,6.3%,6.4%,6.3%,6.8%,6.2%,5.0%,4.2%,3.0%,2.4%
72,PR,F,3.1%,4.2%,5.1%,5.7%,6.6%,5.9%,5.6%,5.9%,6.6%,6.3%,6.5%,7.1%,6.8%,6.4%,5.9%,5.2%,3.4%,3.5%
